Date,Tweet,Close.
2019-04-10,From a big NBA fan congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzkiâ€”not just all-time greats but class acts too.,"2,888.21"
2019-04-06,In just a few minutes Iâ€™m taking the stage at the @ObamaFoundation Town Hall Europe for a conversation about how to best support civic leaders carrying out good work across the continent. I hope youâ€™ll tune in live at http://obama.orgÂ .https://twitter.com/ObamaFoundation/status/1114516881870872577Â â€¦,
2019-04-05,A voice everybody should hear.https://twitter.com/ncaawbb/status/1113842633481310212Â â€¦,"2,892.74"
2019-04-04,Hereâ€™s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it. They just broke ground on a free grocery store to help families in need:https://apnews.com/2f5bdd226a674fd7bd9dca97c172475cÂ â€¦,"2,879.39"
2019-04-03,Great to see Chicagoâ€™s historic mayoral race between two highly qualified candidates. Congrats to our next mayor Lori Lightfootâ€”and Toni Preckwinkle campaigned hard and did us proud. I know that with our cityâ€™s heart and Loriâ€™s leadership Chicagoâ€™s best days are still ahead.,"2,873.40"
2019-04-02,Valerie is one of my oldest friends and advisors â€“ she was by my side when I first decided to run for office and for every major moment of the presidency. @ValerieJarrett's voice has often inspired me and I know â€œFinding My Voiceâ€ will inspire others to lift their voices too.pic.twitter.com/nWTBDByMoz,"2,867.24"
2019-03-26,Last night I had the chance to meet with first-term Democrats in Congressâ€”it's a young diverse class stocked with a bunch of my campaign and administration alums whoâ€™ve taken the torch. This group is going to be driving progress for a long time to come.pic.twitter.com/W5dDlDtNzE,"2,818.46"
2019-03-21,Just in the nick of time: My brackets have never been my one shining moment but here we go again. You can check out my #MarchMadness picks here: https://go.obama.org/2019-bracketÂ pic.twitter.com/EcCUdnZjun,"2,854.88"
2019-03-20,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabweÂ â€¦,"2,824.23"
2019-03-20,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world calls for solidarity and strength from all of us. Ask what you can do to help our fellow Americans and families in need. Here are some ideas:https://www.pbs.org/newshour/nation/how-to-help-those-affected-by-the-midwest-floodingÂ â€¦,"2,824.23"
2019-03-17,In 2011 I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life. I'll always be grateful for the warmth and generosity of the Irish people. Happy St. Patrick's Day! -Barack Oâ€™Bamapic.twitter.com/abDtarFbR5,
2019-03-15,Michelle and I send our condolences to the people of New Zealand. We grieve with you and the Muslim community. All of us must stand against hatred in all its forms.,"2,822.48"
2019-03-14,. @MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week. Our Special Olympians are terrific examples of Americaâ€™s heart and drive.,"2,808.48"
2019-03-12,What a great moment. Happy 110th Virginia.https://twitter.com/MichelleObama/status/1105480037271289856Â â€¦,"2,791.52"
2019-03-10,Michelle and I send our deepest sympathies to all who knew the victims of todayâ€™s plane crash in Ethiopia.,
2019-03-08,The Crew Dragonâ€™s been on quite a ride since I last saw itâ€”congrats to @NASA and @SpaceX on a successful return! We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul and itâ€™s great to see that happening.pic.twitter.com/Dsu5mZcaCZ,"2,743.07"
2019-03-08,Preethi Alice and Sefora are just three of many @ObamaFoundation leaders who remind us what International Womenâ€™s Day is all about: imagining a world free of artificial ceilings for the next generationâ€”and doing the hard work to get us there.,"2,743.07"
2019-03-08,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training and mentoring young women across the continent to adopt a new model of leadership one that puts gender equality at the heart of economic development.pic.twitter.com/cRb4EKcrvv,"2,743.07"
2019-03-08,. @BarbeAlice is helping refugees resettle into welcoming communities in France offering them job training and language immersion as well as a place to stay. More importantly sheâ€™s fighting a narrative that suggests our differences are more important than our shared humanity.pic.twitter.com/jNIiKIAZaO,"2,743.07"
2019-03-08,. @preethiherman is helping women unleash their power to change their societies. As head of the http://Change.orgÂ  Foundation sheâ€™s leading an initiative that combines online tools with in-person organizing giving women a voice in her native Indiaâ€”and beyond.pic.twitter.com/TKuAKVL5Y1,"2,743.07"
2019-03-08,On International Womenâ€™s Day Iâ€™m reflecting on the future we all want for our daughters: one where they can live out their aspirations without limits. And Iâ€™m celebrating some of the women who are building that future for all of us today.,"2,743.07"
2019-02-21,Itâ€™s up to all of us as citizens to make sure that the rules of democracy are fairâ€”everywhereâ€”because the next decade of our nation's progress is on the line. Join me and @allontheline in the fight against gerrymandering: http://allontheline.orgÂ .pic.twitter.com/rKchS3ltLI,"2,774.88"
2019-02-20,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.,"2,784.70"
2019-02-19,Iâ€™m about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color about the challenges that confront them and the opportunities within their grasp. Tune in at http://obama.orgÂ .,"2,779.76"
2019-02-16,Iâ€™ve always loved basketball because itâ€™s about building a team thatâ€™s equal to more than the sum of its parts. Glad to see this expansion into Africa because for a rising continent this can be about a lot more than what happens on the court.https://twitter.com/NBA/status/1096862836989534208Â â€¦,
2019-02-14,Happy Valentineâ€™s Day to the extraordinarily smart beautiful funny one and only @MichelleObama. Itâ€™s true; she does get down to Motown.pic.twitter.com/uypbZsEiqB,"2,745.73"
